student_id,age,gender,major,GPA,course_load,avg_course_grade,attendance_rate,enrollment_status,lms_logins_past_month,avg_session_duration_minutes,assignment_submission_rate,forum_participation_count,video_completion_rate,risk_level,ID,Name,Department,Year
S028,19.0,Female,Engineering,3.13,3.0,95.4,0.68,Active,9.0,58.0,0.74,2.0,0.52,High,,,,
S029,25.0,Female,Arts,2.24,6.0,82.2,0.85,Graduated,0.0,30.0,0.56,15.0,0.88,High,,,,
S030,21.0,Male,Engineering,3.83,3.0,81.4,0.76,Active,31.0,10.0,0.73,4.0,0.71,Medium,,,,
S031,22.0,Male,Engineering,3.44,3.0,67.8,0.62,Leave,29.0,67.0,0.85,19.0,1.0,High,,,,
S032,18.0,Other,Business,2.8,6.0,66.6,0.74,Leave,7.0,88.0,1.0,17.0,0.55,High,,,,
S033,21.0,Other,Computer Science,2.32,6.0,96.7,0.71,Active,20.0,64.0,0.66,0.0,0.93,High,,,,
S034,19.0,Male,Computer Science,3.76,4.0,73.1,0.87,Graduated,21.0,35.0,0.76,3.0,0.74,Low,,,,
S035,23.0,Male,Business,3.65,4.0,74.9,0.98,Leave,17.0,34.0,0.94,10.0,0.91,Low,,,,
S036,22.0,Other,Business,3.44,5.0,90.4,0.71,Leave,1.0,86.0,0.68,19.0,0.91,High,,,,
S037,21.0,Female,Arts,2.54,5.0,73.6,0.92,Active,8.0,42.0,0.55,8.0,0.96,Medium,,,,
S038,18.0,Male,Arts,2.8,6.0,98.1,0.62,Leave,2.0,81.0,0.97,7.0,0.65,High,,,,
S039,18.0,Other,Arts,2.21,3.0,89.5,0.82,Leave,25.0,78.0,0.74,7.0,0.97,High,,,,
S040,20.0,Female,Business,2.38,5.0,83.9,0.63,Graduated,20.0,15.0,0.75,4.0,0.58,High,,,,
S041,20.0,Male,Business,3.57,6.0,95.2,0.97,Graduated,29.0,32.0,0.81,11.0,0.54,Low,,,,
S042,24.0,Female,Engineering,3.43,5.0,62.0,0.91,Graduated,27.0,39.0,0.5,0.0,0.72,Low,,,,
S043,19.0,Other,Arts,3.19,3.0,70.3,0.86,Active,35.0,87.0,0.97,14.0,0.91,Low,,,,
S044,25.0,Male,Arts,3.79,6.0,78.6,0.93,Leave,25.0,63.0,0.68,17.0,0.74,Low,,,,
S045,21.0,Female,Arts,3.17,3.0,69.1,0.86,Active,33.0,20.0,0.7,5.0,0.91,Low,,,,
S046,21.0,Male,Computer Science,2.93,6.0,89.8,0.99,Leave,7.0,40.0,0.59,9.0,0.86,Medium,,,,
S047,25.0,Female,Engineering,2.68,5.0,96.8,0.89,Leave,9.0,15.0,0.69,13.0,0.6,Medium,,,,
S048,24.0,Other,Arts,3.88,4.0,77.0,0.97,Leave,13.0,20.0,0.9,7.0,0.97,Low,,,,
S049,23.0,Other,Arts,2.17,5.0,73.7,0.81,Graduated,39.0,86.0,0.9,2.0,0.53,High,,,,
S050,23.0,Male,Arts,3.86,5.0,98.5,0.65,Active,14.0,21.0,0.97,18.0,0.95,High,,,,
S051,24.0,Female,Computer Science,3.65,4.0,77.8,0.81,Active,16.0,75.0,0.7,11.0,0.65,Medium,,,,
S052,23.0,Male,Computer Science,2.26,4.0,79.6,0.65,Leave,17.0,62.0,0.85,11.0,0.75,High,,,,
S053,20.0,Male,Business,3.13,6.0,74.1,0.84,Active,31.0,45.0,0.75,14.0,0.71,Medium,,,,
S054,21.0,Female,Engineering,3.73,6.0,96.4,0.79,Graduated,37.0,26.0,0.9,6.0,0.59,Medium,,,,
S055,24.0,Female,Business,3.14,3.0,82.8,0.85,Active,22.0,37.0,0.86,3.0,0.68,Low,,,,
S056,21.0,Female,Engineering,3.81,3.0,90.5,0.6,Leave,22.0,31.0,0.68,8.0,0.6,High,,,,
S057,25.0,Other,Computer Science,3.89,5.0,92.5,0.68,Graduated,34.0,16.0,0.67,15.0,0.6,High,,,,
S058,18.0,Male,Arts,2.84,4.0,73.7,0.8,Graduated,38.0,24.0,0.63,12.0,0.59,Medium,,,,
S059,20.0,Male,Business,2.75,3.0,77.3,0.98,Leave,14.0,20.0,0.79,3.0,0.74,Medium,,,,
S060,22.0,Other,Arts,3.87,5.0,93.9,0.75,Active,23.0,33.0,0.98,8.0,0.9,Medium,,,,
S061,20.0,Female,Business,3.35,4.0,74.5,0.77,Leave,27.0,76.0,0.6,17.0,0.78,Medium,,,,
S062,24.0,Other,Computer Science,2.23,6.0,91.8,0.89,Active,15.0,39.0,0.55,14.0,0.95,High,,,,
S063,22.0,Other,Computer Science,2.08,5.0,97.6,0.84,Active,15.0,79.0,0.56,14.0,0.82,High,,,,
S064,18.0,Other,Computer Science,3.13,6.0,84.9,0.72,Graduated,39.0,75.0,0.89,5.0,0.84,High,,,,
S065,24.0,Male,Business,3.86,3.0,89.7,0.76,Leave,38.0,70.0,0.68,10.0,0.83,Medium,,,,
S066,19.0,Other,Engineering,3.69,3.0,92.2,0.69,Graduated,5.0,87.0,0.61,7.0,0.72,High,,,,
S067,21.0,Male,Business,3.35,4.0,93.8,0.99,Leave,1.0,50.0,0.68,16.0,0.84,Low,,,,
S068,18.0,Male,Engineering,2.28,5.0,75.8,0.65,Leave,12.0,60.0,0.82,16.0,0.53,High,,,,
S069,21.0,Male,Business,2.51,6.0,62.1,0.75,Graduated,8.0,53.0,0.77,17.0,0.93,Medium,,,,
S070,23.0,Female,Business,3.75,4.0,76.1,0.61,Leave,33.0,22.0,0.87,3.0,0.89,High,,,,
S071,19.0,Male,Computer Science,2.37,3.0,87.0,0.69,Leave,16.0,21.0,0.67,14.0,0.62,High,,,,
S072,19.0,Male,Arts,2.56,3.0,78.0,0.91,Active,26.0,18.0,0.73,1.0,0.88,Medium,,,,
S073,18.0,Female,Arts,2.26,5.0,90.0,0.68,Leave,28.0,57.0,0.55,1.0,0.51,High,,,,
S074,19.0,Male,Engineering,3.35,6.0,74.3,0.63,Leave,36.0,58.0,0.54,9.0,0.61,High,,,,
S075,22.0,Other,Arts,3.89,5.0,85.4,0.79,Graduated,21.0,62.0,0.73,2.0,0.53,Medium,,,,
S076,19.0,Other,Business,2.54,6.0,67.5,0.6,Graduated,23.0,65.0,0.65,7.0,0.89,High,,,,
S077,21.0,Male,Business,2.95,6.0,90.0,0.63,Leave,6.0,49.0,0.81,19.0,0.88,High,,,,
S078,21.0,Female,Computer Science,3.27,5.0,81.8,0.92,Active,33.0,33.0,0.52,6.0,0.91,Low,,,,
S079,24.0,Other,Computer Science,4.0,4.0,68.2,0.91,Active,11.0,81.0,0.56,11.0,0.5,Low,,,,
S080,21.0,Female,Arts,2.21,5.0,71.7,0.97,Graduated,22.0,42.0,0.93,18.0,0.75,High,,,,
S081,24.0,Female,Engineering,3.0,5.0,89.9,0.94,Leave,14.0,32.0,0.78,14.0,0.85,Low,,,,
S082,21.0,Other,Arts,2.77,3.0,79.3,0.87,Leave,32.0,86.0,0.86,13.0,0.58,Medium,,,,
S083,22.0,Female,Arts,3.73,3.0,68.6,0.62,Active,12.0,63.0,0.92,15.0,0.82,High,,,,
S084,25.0,Other,Arts,2.95,5.0,98.7,0.91,Active,22.0,62.0,0.73,13.0,0.54,Medium,,,,
S085,24.0,Female,Arts,2.22,5.0,88.6,0.94,Active,37.0,58.0,0.88,2.0,0.59,High,,,,
S086,20.0,Other,Business,3.27,3.0,98.3,0.92,Graduated,31.0,87.0,0.76,17.0,0.74,Low,,,,
S087,23.0,Male,Engineering,3.54,6.0,77.1,0.8,Leave,34.0,87.0,0.61,5.0,0.83,Medium,,,,
S088,18.0,Other,Business,2.01,5.0,79.0,0.69,Graduated,0.0,89.0,0.67,16.0,0.57,High,,,,
S089,21.0,Other,Engineering,3.72,4.0,95.9,0.94,Leave,4.0,58.0,0.75,13.0,0.59,Low,,,,
S090,19.0,Other,Computer Science,2.37,4.0,81.0,0.89,Graduated,12.0,69.0,0.66,13.0,0.6,High,,,,
S091,25.0,Other,Arts,3.1,4.0,88.3,0.99,Leave,4.0,74.0,0.67,19.0,0.62,Low,,,,
S092,21.0,Female,Business,2.83,5.0,70.1,0.66,Active,31.0,41.0,0.67,12.0,0.61,High,,,,
S093,19.0,Male,Engineering,3.44,6.0,77.9,0.69,Active,20.0,88.0,0.56,2.0,0.7,High,,,,
S094,23.0,Other,Computer Science,2.74,6.0,64.9,0.68,Active,23.0,30.0,0.54,12.0,0.83,High,,,,
S095,23.0,Female,Computer Science,3.74,3.0,68.2,0.92,Graduated,17.0,27.0,0.52,1.0,0.72,Low,,,,
S096,23.0,Male,Arts,3.46,5.0,60.0,0.67,Active,20.0,69.0,0.56,8.0,0.89,High,,,,
S097,19.0,Male,Engineering,3.3,6.0,61.6,0.63,Leave,9.0,22.0,0.67,12.0,0.86,High,,,,
S098,21.0,Male,Business,3.59,5.0,99.1,1.0,Graduated,23.0,33.0,0.8,7.0,0.56,Low,,,,
S099,23.0,Male,Arts,3.51,3.0,69.7,0.61,Leave,39.0,39.0,0.59,15.0,0.52,High,,,,
S100,22.0,Other,Business,2.07,3.0,86.5,0.93,Graduated,20.0,11.0,0.94,2.0,0.94,High,,,,
S101,24.0,Other,Computer Science,2.79,3.0,93.6,0.75,Leave,24.0,34.0,0.9,12.0,0.54,Medium,,,,
S102,19.0,Female,Business,3.86,4.0,82.0,0.94,Leave,22.0,59.0,0.76,3.0,0.57,Low,,,,
S103,19.0,Female,Business,2.25,5.0,66.1,0.82,Graduated,21.0,23.0,0.86,17.0,0.51,High,,,,
S104,21.0,Female,Arts,3.47,3.0,89.1,0.96,Graduated,3.0,15.0,0.68,1.0,0.81,Low,,,,
S105,19.0,Male,Business,3.95,5.0,84.0,0.97,Active,33.0,85.0,0.52,19.0,0.79,Low,,,,
S106,19.0,Male,Arts,2.1,4.0,89.3,0.6,Active,5.0,39.0,0.95,14.0,0.99,High,,,,
S107,23.0,Other,Computer Science,3.36,4.0,90.8,0.63,Leave,27.0,39.0,0.56,16.0,0.94,High,,,,
S108,21.0,Male,Arts,2.94,3.0,99.0,0.7,Leave,30.0,47.0,0.97,9.0,0.71,High,,,,
S109,23.0,Male,Arts,3.16,3.0,82.9,0.87,Leave,34.0,67.0,0.79,0.0,0.69,Low,,,,
S110,24.0,Male,Engineering,2.17,6.0,73.7,0.96,Graduated,38.0,50.0,0.65,5.0,0.65,High,,,,
S111,25.0,Female,Business,2.09,5.0,85.9,0.78,Graduated,22.0,66.0,0.75,2.0,0.58,High,,,,
S112,24.0,Female,Computer Science,3.33,3.0,62.7,0.84,Active,5.0,45.0,0.75,18.0,0.57,Medium,,,,
S113,25.0,Other,Arts,3.65,6.0,95.9,0.68,Leave,15.0,73.0,0.51,6.0,0.57,High,,,,
S114,23.0,Male,Computer Science,3.56,5.0,64.8,0.92,Active,1.0,25.0,0.68,12.0,0.56,Low,,,,
S115,24.0,Male,Engineering,3.09,3.0,73.1,0.99,Graduated,23.0,87.0,0.87,12.0,0.62,Low,,,,
S116,21.0,Other,Business,2.2,6.0,92.6,0.71,Graduated,16.0,81.0,0.76,16.0,0.65,High,,,,
S117,18.0,Male,Arts,3.38,6.0,83.9,0.8,Graduated,0.0,23.0,0.62,0.0,0.98,Medium,,,,
S118,23.0,Male,Business,2.48,5.0,75.7,0.63,Active,5.0,40.0,0.67,13.0,0.79,High,,,,
S119,25.0,Female,Engineering,3.82,6.0,78.9,0.82,Graduated,4.0,75.0,0.93,2.0,0.99,Medium,,,,
S120,22.0,Other,Engineering,3.68,5.0,94.2,0.8,Leave,28.0,77.0,0.76,13.0,0.69,Medium,,,,
S121,25.0,Other,Computer Science,3.42,5.0,73.6,0.66,Active,11.0,74.0,0.76,0.0,0.73,High,,,,
S122,22.0,Other,Arts,3.9,5.0,94.8,0.78,Graduated,38.0,64.0,0.98,15.0,0.66,Medium,,,,
S123,19.0,Other,Computer Science,2.06,4.0,63.5,0.73,Active,2.0,87.0,0.66,9.0,0.59,High,,,,
S124,24.0,Female,Engineering,3.47,6.0,91.1,0.81,Active,0.0,49.0,0.74,12.0,0.57,Medium,,,,
S125,22.0,Female,Business,2.66,5.0,93.9,0.83,Graduated,26.0,34.0,0.91,3.0,0.97,Medium,,,,
S126,25.0,Male,Computer Science,3.81,3.0,67.3,0.6,Graduated,23.0,34.0,0.88,8.0,0.99,High,,,,
S127,19.0,Male,Computer Science,2.53,4.0,77.2,0.9,Active,18.0,12.0,0.63,13.0,0.52,Medium,,,,
S128,18.0,Male,Business,3.45,4.0,66.6,0.89,Active,7.0,78.0,0.58,3.0,0.58,Low,,,,
S129,21.0,Male,Computer Science,3.76,6.0,88.3,0.75,Graduated,1.0,35.0,0.85,9.0,0.71,Medium,,,,
S130,21.0,Female,Business,2.08,5.0,81.4,0.62,Leave,29.0,49.0,0.63,7.0,0.59,High,,,,
S131,21.0,Other,Arts,2.8,6.0,85.4,0.9,Active,29.0,47.0,0.96,2.0,0.68,Medium,,,,
S132,22.0,Female,Business,3.52,4.0,67.9,0.98,Active,38.0,47.0,0.56,6.0,0.56,Low,,,,
S133,18.0,Male,Arts,2.91,5.0,68.5,0.7,Leave,31.0,77.0,0.66,9.0,0.73,High,,,,
S134,22.0,Female,Business,2.53,3.0,61.7,0.73,Graduated,0.0,16.0,0.53,2.0,0.64,High,,,,
S135,24.0,Other,Engineering,2.44,5.0,72.9,0.67,Graduated,37.0,39.0,0.85,1.0,0.68,High,,,,
S136,22.0,Other,Engineering,2.26,4.0,82.4,0.83,Leave,12.0,28.0,0.95,14.0,0.55,High,,,,
S137,18.0,Female,Arts,3.71,3.0,94.3,0.66,Graduated,10.0,44.0,0.82,8.0,0.71,High,,,,
S138,18.0,Female,Arts,3.15,5.0,86.7,0.74,Graduated,9.0,42.0,0.97,14.0,0.99,High,,,,
S139,24.0,Female,Engineering,2.15,3.0,77.4,0.88,Active,25.0,42.0,0.56,16.0,0.66,High,,,,
S140,18.0,Male,Arts,2.77,3.0,98.1,0.82,Active,19.0,87.0,0.54,6.0,0.94,Medium,,,,
S141,25.0,Female,Business,2.74,4.0,88.8,0.75,Active,16.0,47.0,0.92,19.0,0.92,Medium,,,,
S142,18.0,Female,Business,2.36,3.0,97.2,0.77,Leave,16.0,19.0,0.93,17.0,0.98,High,,,,
S143,21.0,Female,Engineering,2.87,6.0,81.1,0.82,Graduated,3.0,66.0,0.92,14.0,0.9,Medium,,,,
S144,25.0,Other,Computer Science,2.66,4.0,70.4,0.6,Graduated,4.0,37.0,0.9,17.0,0.83,High,,,,
S145,25.0,Other,Business,2.68,6.0,62.1,0.63,Active,22.0,87.0,0.68,11.0,0.93,High,,,,
S146,24.0,Male,Arts,3.48,3.0,89.0,0.95,Active,9.0,47.0,0.61,7.0,0.54,Low,,,,
S147,20.0,Male,Computer Science,2.45,6.0,64.9,0.63,Leave,27.0,25.0,0.96,1.0,0.73,High,,,,
S148,20.0,Other,Computer Science,3.28,5.0,72.1,0.88,Graduated,32.0,30.0,0.65,1.0,0.99,Low,,,,
S149,18.0,Other,Business,3.14,3.0,81.3,0.97,Leave,25.0,15.0,0.7,4.0,0.88,Low,,,,
S150,25.0,Other,Business,3.14,5.0,82.6,0.71,Graduated,28.0,50.0,0.85,0.0,0.98,High,,,,
S151,20.0,Female,Computer Science,3.33,6.0,84.0,0.75,Leave,26.0,24.0,0.65,3.0,0.89,Medium,,,,
S152,20.0,Female,Computer Science,3.1,5.0,66.7,0.83,Active,17.0,12.0,0.91,5.0,0.94,Medium,,,,
S153,18.0,Other,Engineering,3.76,3.0,75.2,0.95,Leave,39.0,52.0,0.54,12.0,0.85,Low,,,,
S154,20.0,Female,Arts,3.35,5.0,84.7,0.98,Leave,9.0,56.0,0.9,18.0,0.88,Low,,,,
S155,22.0,Female,Engineering,3.09,6.0,98.8,0.9,Active,4.0,23.0,0.8,10.0,0.76,Low,,,,
S156,19.0,Male,Business,3.66,6.0,89.1,0.63,Graduated,9.0,75.0,0.79,12.0,0.96,High,,,,
S157,24.0,Other,Engineering,3.21,6.0,96.9,0.87,Graduated,20.0,38.0,0.73,7.0,0.91,Low,,,,
S158,19.0,Other,Engineering,2.58,3.0,90.5,0.76,Active,23.0,13.0,0.64,6.0,0.92,Medium,,,,
S159,18.0,Female,Engineering,2.41,6.0,83.7,0.79,Leave,37.0,35.0,0.73,12.0,0.84,High,,,,
S160,21.0,Other,Engineering,2.3,3.0,67.7,0.62,Leave,2.0,21.0,0.73,0.0,0.65,High,,,,
S161,24.0,Male,Arts,3.8,5.0,86.7,0.68,Leave,39.0,11.0,0.79,5.0,0.52,High,,,,
S162,18.0,Male,Arts,3.42,6.0,84.9,0.92,Graduated,30.0,26.0,0.64,6.0,0.97,Low,,,,
S163,25.0,Male,Computer Science,3.87,5.0,84.1,0.78,Leave,36.0,44.0,0.54,15.0,0.79,Medium,,,,
S164,21.0,Other,Business,3.21,4.0,79.6,0.72,Graduated,1.0,19.0,0.57,14.0,0.65,High,,,,
S165,19.0,Other,Engineering,2.95,5.0,81.1,0.75,Leave,1.0,52.0,0.85,19.0,0.57,Medium,,,,
S166,18.0,Other,Computer Science,2.12,4.0,73.4,0.94,Active,38.0,30.0,0.51,1.0,0.91,High,,,,
S167,25.0,Other,Computer Science,3.34,5.0,80.8,0.9,Active,33.0,24.0,0.93,15.0,0.92,Low,,,,
S168,24.0,Other,Computer Science,3.16,3.0,67.9,0.71,Graduated,19.0,44.0,0.85,16.0,0.91,High,,,,
S169,24.0,Male,Arts,3.98,5.0,92.2,0.65,Graduated,32.0,69.0,0.88,14.0,0.82,High,,,,
S170,23.0,Female,Engineering,2.48,3.0,67.4,0.7,Active,3.0,53.0,0.92,2.0,0.68,High,,,,
S171,25.0,Male,Engineering,3.06,3.0,63.4,0.97,Active,10.0,14.0,0.56,3.0,0.65,Low,,,,
S172,22.0,Other,Business,3.3,6.0,77.4,0.83,Leave,4.0,82.0,0.91,11.0,0.5,Medium,,,,
S173,20.0,Male,Engineering,3.29,3.0,86.3,0.81,Active,24.0,27.0,0.75,4.0,0.92,Medium,,,,
S174,21.0,Other,Engineering,3.12,4.0,77.5,0.84,Graduated,36.0,30.0,0.94,16.0,0.54,Medium,,,,
S175,25.0,Other,Computer Science,3.55,6.0,71.1,0.75,Active,33.0,81.0,0.94,5.0,0.82,Medium,,,,
S176,23.0,Male,Business,2.41,6.0,82.3,0.92,Graduated,8.0,83.0,0.51,9.0,0.75,High,,,,
S177,20.0,Other,Engineering,3.45,5.0,73.9,0.81,Graduated,5.0,60.0,0.69,17.0,0.76,Medium,,,,
S178,20.0,Female,Arts,3.24,3.0,97.3,0.65,Leave,17.0,50.0,0.76,9.0,0.96,High,,,,
S179,18.0,Other,Engineering,3.79,3.0,96.9,0.65,Leave,13.0,33.0,0.84,5.0,0.52,High,,,,
S180,20.0,Female,Computer Science,3.69,4.0,80.1,0.81,Leave,18.0,33.0,0.64,5.0,0.89,Medium,,,,
S181,22.0,Female,Arts,2.63,5.0,73.1,0.97,Leave,13.0,47.0,0.63,19.0,0.53,Medium,,,,
S182,24.0,Other,Computer Science,2.55,5.0,89.5,0.72,Active,39.0,53.0,0.69,14.0,0.52,High,,,,
S183,23.0,Male,Engineering,3.96,6.0,61.5,0.95,Leave,16.0,66.0,0.75,3.0,0.71,Low,,,,
S184,20.0,Female,Arts,3.05,6.0,79.0,0.91,Active,34.0,68.0,0.98,15.0,0.53,Low,,,,
S185,18.0,Male,Business,3.81,6.0,73.5,0.7,Leave,28.0,43.0,0.88,7.0,0.89,High,,,,
S186,22.0,Female,Business,2.33,4.0,96.8,0.61,Leave,16.0,84.0,0.71,6.0,0.76,High,,,,
S187,19.0,Other,Arts,3.29,4.0,60.5,0.64,Graduated,7.0,32.0,0.53,18.0,0.51,High,,,,
S188,24.0,Other,Arts,3.62,6.0,82.1,0.89,Active,0.0,52.0,0.58,16.0,0.52,Low,,,,
S189,24.0,Female,Computer Science,3.89,5.0,89.6,0.68,Graduated,35.0,49.0,0.73,12.0,0.81,High,,,,
S190,23.0,Other,Arts,2.67,4.0,79.4,0.75,Leave,6.0,56.0,0.91,14.0,0.9,Medium,,,,
S191,24.0,Female,Computer Science,3.45,5.0,63.4,0.8,Active,4.0,50.0,0.69,1.0,0.72,Medium,,,,
S192,20.0,Other,Engineering,3.08,5.0,98.9,0.89,Leave,23.0,56.0,0.77,9.0,0.78,Low,,,,
S193,18.0,Male,Computer Science,2.12,3.0,80.7,0.65,Graduated,27.0,29.0,0.95,12.0,0.9,High,,,,
S194,24.0,Other,Arts,3.38,6.0,84.6,0.76,Active,16.0,86.0,0.96,17.0,0.81,Medium,,,,
S195,24.0,Male,Arts,3.38,3.0,69.5,0.79,Graduated,36.0,74.0,0.61,10.0,0.61,Medium,,,,
S196,19.0,Other,Engineering,3.86,6.0,79.3,0.82,Leave,19.0,77.0,0.52,12.0,0.81,Medium,,,,
S197,19.0,Male,Arts,2.99,6.0,77.2,0.93,Leave,2.0,33.0,0.65,18.0,0.81,Medium,,,,
S198,21.0,Other,Arts,2.46,5.0,63.0,0.67,Leave,36.0,45.0,0.85,4.0,0.87,High,,,,
S199,22.0,Male,Business,2.09,6.0,64.2,0.92,Active,25.0,54.0,0.98,2.0,0.81,High,,,,
S200,20.0,Female,Business,2.83,5.0,93.5,0.88,Graduated,14.0,11.0,0.54,18.0,0.98,Medium,,,,
S201,24.0,Female,Engineering,2.6,5.0,69.6,0.82,Graduated,7.0,37.0,0.51,12.0,0.6,Medium,,,,
S202,25.0,Male,Computer Science,3.52,6.0,67.8,0.88,Leave,12.0,35.0,0.94,4.0,0.98,Low,,,,
S203,24.0,Other,Business,2.71,5.0,80.2,0.76,Graduated,2.0,32.0,0.87,11.0,0.77,Medium,,,,
S204,18.0,Male,Computer Science,3.9,5.0,90.7,0.66,Active,0.0,88.0,1.0,13.0,0.84,High,,,,
S205,21.0,Other,Arts,3.92,5.0,62.5,0.87,Leave,8.0,45.0,0.7,5.0,0.55,Low,,,,
S206,22.0,Female,Business,3.24,4.0,83.1,0.81,Leave,30.0,15.0,0.71,8.0,0.69,Medium,,,,
S207,25.0,Other,Engineering,3.86,5.0,64.8,0.86,Leave,25.0,44.0,0.59,16.0,0.88,Low,,,,
S208,21.0,Female,Engineering,3.52,4.0,61.5,0.74,Active,16.0,47.0,0.56,7.0,0.85,High,,,,
S209,23.0,Other,Engineering,3.09,4.0,62.1,0.96,Leave,33.0,44.0,0.79,12.0,0.52,Low,,,,
S210,22.0,Other,Business,2.36,5.0,93.4,0.83,Leave,8.0,83.0,0.68,4.0,0.77,High,,,,
S211,24.0,Other,Computer Science,2.92,5.0,64.7,0.63,Leave,12.0,62.0,0.54,16.0,0.54,High,,,,
S212,24.0,Male,Arts,3.12,4.0,61.8,0.78,Leave,4.0,47.0,0.94,2.0,1.0,Medium,,,,
S213,22.0,Male,Computer Science,3.73,4.0,77.5,0.9,Graduated,12.0,68.0,0.6,5.0,0.95,Low,,,,
S214,24.0,Female,Computer Science,2.96,5.0,93.8,0.92,Leave,0.0,52.0,0.87,13.0,0.51,Medium,,,,
S215,20.0,Female,Arts,3.8,5.0,70.5,0.8,Active,24.0,13.0,0.64,14.0,0.93,Medium,,,,
S216,22.0,Male,Arts,3.35,6.0,76.9,0.96,Leave,3.0,14.0,0.91,13.0,0.96,Low,,,,
S217,21.0,Female,Business,2.27,4.0,61.6,0.71,Leave,35.0,77.0,0.56,10.0,0.68,High,,,,
S218,22.0,Male,Business,3.99,4.0,78.0,0.76,Graduated,9.0,54.0,0.88,10.0,0.86,Medium,,,,
S219,25.0,Other,Business,3.05,6.0,83.1,0.96,Leave,27.0,89.0,0.55,8.0,0.72,Low,,,,
S220,24.0,Female,Business,2.78,4.0,82.8,0.96,Graduated,5.0,34.0,0.72,5.0,0.83,Medium,,,,
S221,20.0,Female,Business,3.32,3.0,73.3,0.87,Active,26.0,87.0,0.87,14.0,0.67,Low,,,,
S222,20.0,Male,Arts,2.22,4.0,72.6,0.94,Graduated,11.0,20.0,0.59,11.0,0.66,High,,,,
S223,23.0,Female,Computer Science,3.27,6.0,64.3,0.64,Leave,2.0,38.0,0.64,5.0,0.71,High,,,,
S224,21.0,Female,Business,3.0,3.0,74.7,0.95,Active,32.0,43.0,0.93,0.0,0.57,Low,,,,
